"","PMID","Title","Abstract"
"21","18420937","The antidepressant fluoxetine restores plasticity in the adult visual cortex.","We investigated whether fluoxetine  a widely prescribed medication for treatment of depression  restores neuronal plasticity in the adult visual system of the rat. We found that chronic administration of fluoxetine reinstates ocular dominance plasticity in adulthood and promotes the recovery of visual functions in adult amblyopic animals  as tested electrophysiologically and behaviorally. These effects were accompanied by reduced intracortical inhibition and increased expression of brain-derived neurotrophic factor in the visual cortex. Cortical administration of diazepam prevented the effects induced by fluoxetine  indicating that the reduction of intracortical inhibition promotes visual cortical plasticity in the adult. Our results suggest a potential clinical application for fluoxetine in amblyopia as well as new mechanisms for the therapeutic effects of antidepressants and for the pathophysiology of mood disorders."
"22","17848146","Comparison of trazodone, diazepame and dibenzepine influences on rat brain beta-endorphins content.","The aim of our study was to establish the extent of influence of different psychotropic drugs to brain Beta-endorphins in experimental animals. The study was performed on albino Wistar rats (weight 250 g)  treated with different psychoactive drugs. RIA technique was employed for quantification of brain beta-endorphins. Brain beta-endorphins were higher in experiment group treated with trazodone (929 pg/g +/- 44 43; X+/-SD)  and dibenzepine (906 63 pg/g +/- 74 06)  yet with lower brain content in rats treated with diazepam (841 55 pg/g +/- 68 47)  compared to brain beta-endorphins content of control group treated with saline solution (0 95% NaCl) (873 5 pg/g +/- 44 89). Significant differences were obtained comparing brain beta-endorphins of trazodone vs. diazepam treated animals  with diazepam group having lower values (p&lt;0 02). This study showed differences in changes of rat brain beta-endorphins contents when different psychoactive drugs are used. Therefore  we consider that beta-endorphins could be used for evaluation of effects of psychoactive drugs  as a useful parameter in therapy with these psycho-pharmaceuticals."
"23","16307296","Effect of noradrenergic system on the anxiolytic-like effect of DOI (5-HT2A/2C agonists) in the four-plate test.","RATIONALE: Selective serotonin reuptake inhibitors and serotonin and noradrenaline reuptake inhibitors demonstrated an anxiolytic-like effect in the four-plate test (FPT). (+/-)-1-(2 5-Dimethoxy-4-iodophenyl)-2-aminopropane (DOI; a 5-HT2A receptor agonist) also possessed strong anxiolytic-like effect in the same test. A 5-HT2A mechanism seems to be implicated in the mechanism of action of both antidepressants and DOI in this test. On the other hand  the alpha-adrenergic ligands have also demonstrated an activity in other models of anxiety. A previous study demonstrated that the alpha2-adrenoceptor agonists abolished the anxiolytic-like effect of antidepressants.OBJECTIVES: The aim of the present study was to evaluate the role of noradrenergic system on the regulation of 5-HT2 receptors implicated in the DOI anxiolytic-like activity in the FPT.METHODS: First  the effect of noradrenergic and serotonergic lesions on DOI anxiolytic-like activity was studied in the FPT. Second  the effect of co-administration of alpha-adrenoceptor ligands and DOI was evaluated in the same test.RESULTS: The noradrenergic and serotonergic lesions had no effect on DOI (1 mg/kg) anti-punishment activity in the FPT. Adrafinil 0.25 and 4 mg/kg (an alpha1-adrenoceptor agonist)  prazosin 0.5 and 2 mg/kg (an alpha1-adrenoceptor antagonist) and idazoxan 1 and 4 mg/kg (an alpha2-adrenoceptor antagonist) did not modify the activity of DOI. Clonidine 0.06 mg/kg  guanabenz 0.125 and 0.5 mg/kg (two alpha2-adrenoceptor agonists) and guanfacine 0.06 and 0.125 mg/kg (a specific alpha2A-adrenoceptor agonist) completely abolished DOI-induced increase in punished passages.CONCLUSION: These results indicate that the DOI seems to act on the 5-HT2 receptors post-synaptically located. The effect of DOI is regulated by the alpha2-adrenoceptors."
"24","15100702","Role of neuroactive steroid allopregnanolone in antipsychotic-like action of olanzapine in rodents.","Olanzapine increases brain allopregnanolone (ALLO) levels sufficiently to modulate neuronal activity by allosterically regulating GABAA receptors. Recently  we reported the antipsychotic-like profile of ALLO in rodents. The present study examined the hypothesis that olanzapine-induced elevation of endogenous neurosteroid ALLO is vital for its neuroleptic-like action. The conditioned avoidance response (CAR) and apomorphine-induced climbing behavioral paradigms were used in rodents. Administration of ALLO (1 microg  intracerebroventricular (i.c.v.)) or neurosteroidogenic agents such as the mitochondrial diazepam binding inhibitor receptor agonist  FGIN 1-27 (0.5 microg  i.c.v.) or the ALLO precursor  progesterone (10 mg/kg  i.p.) significantly potentiated olanzapine-induced blockade of CAR and apomorphine-induced climbing. In contrast  these agents failed to alter the antipsychotic-like effect of risperidone and haloperidol. On the other hand  inhibition of the endogenous biosynthesis of neurosteroids by the 3beta-hydroxysteroid dehydrogenase inhibitor  trilostane (30 mg/kg  i.p.)  the 3alpha-hydroxysteroid oxidoreductase inhibitor  indomethacin (5 mg/kg  i.p.)  or the GABAA receptor antagonist bicuculline (1 mg/kg  i.p.) and dehydroepiandrosterone sulfate (DHEAS) (1 mg/kg  i.p.) blocked the effect of olanzapine  but not of risperidone and haloperidol. Socially isolated animals  known to exhibit decreased brain ALLO and GABAA receptor functions  displayed a shortening in the muscimol-induced loss of righting reflex and an increased susceptibility to apomorphine-induced climbing. Administration of olanzapine  but not of haloperidol and risperidone  normalized the duration of muscimol-elicited loss of righting reflex. Although all three antipsychotics proved capable of antagonizing the apomorphine-induced climbing  a dose almost five times higher of olanzapine was required in socially isolated animals. The data obtained suggest that enhancement of the GABAergic tone plays a key role in the antipsychotic-like effect exerted by olanzapine in rodents  likely as a consequence of augmented levels of neuroactive steroids  in particular ALLO  in the brain. The present findings provide the first specific behavioral evidence in support of the hypothesis that neuroactive steroid ALLO- mediated GABAergic modulation is essential for the antipsychotic-like action of olanzapine."
"25","14531941","Cytoprotective effect is one of common action pathways for antidepressants.","AIM: To explore the possible common action mechanism of antidepressants.METHODS: The cell viability was detected by MTT assay. The intracellular Ca2+ concentration ([Ca2+]i) was measured by Fura 2-AM fluorescence labeling assay. Using RT-PCR  the mRNA level of nerve growth factor (NGF) was also detected.RESULTS: High concentration of corticosterone (0.2 mmol/L) was incubated with PC12 cells to simulate the lesion state of brain neurons in depressive illness. Three main kinds of antidepressants used in clinic [(1) tricyclic antidepressants (TCAs)  such as desipramine (DIM) 0.625-10 micromol/L; (2) selective serotonin reuptake inhibitors (SSRIs)  such as fluoxetine (FLU) 0.625-10 micromol/L; (3) monoamine oxidase inhibitors (MAOIs)  such as moclobemide (MOC) 2.5-40 micromol/L] protected cells from the lesion induced by corticosterone. While antipsychotic drug chlorpromazine or anxiolytic agent diazepam 0.4-50 micromol/L had no such effect. Moreover  DIM 1  5 micromol/L or FLU 1  5 micromol/L attenuated the [Ca2+]i overload induced by corticosterone 0.1 mmol/L for 48 h in PC12 cells. Furthermore  treatment with DIM or FLU 10 micromol/L for 48 h elevated the NGF mRNA expression in PC12 cells.CONCLUSION: Despite a remarkable structural diversity  the cytoprotective effect can be viewed as the common action pathway of the antidepressants. Moreover  attenuation of the intracellular Ca2+ overload and elevation of neurotrophic factor (such as NGF) expression is one of the mechanisms of cytoprotective effect of antidepressants."
"26","12600706","Stress-induced vocalisation in adult animals. A valid model of anxiety?","The post-stimuli anticipatory vocalisations that follow stressful and painful conditions are suggested as a quantitative measure of the emotional state of fear and anxiety in animal models. Adult rats emit characteristic 22-kHz ultrasound vocalisations consisting of 20-30 kHz calls with a mean duration of 300-600 ms as response to aversive stimuli (e.g. inescapable electric footshock  acoustic or air-puff stimuli  agonistic encounter or withdrawal from treatment with drugs of abuse). The vocalisations are accompanied by defensive submissive behaviour and signal a refractory  socially withdrawn or helpless state. Furthermore  brain structures that are involved in the mediation of anxiety-like behaviour  e.g. the dorsal periaqueductal grey and cortical areas  are also important for modulation of ultrasonic vocalisation. Benzodiazepines  e.g. diazepam  inhibit shock-induced ultrasonic vocalisation although the active doses are generally close to those that produce sedation and muscle relaxation. Selective serotonin reuptake inhibitors and other antidepressants that preferentially enhance serotonergic neurotransmission inhibit footshock-induced ultrasonic vocalisation. The 5-HT(2) receptor antagonistic properties of fluoxetine may explain why only partial inhibition is achieved. The biphasic dose-response curve of the racemic drug  citalopram  may perhaps be ascribed to an attenuating effect of R-citalopram. Tricyclic antidepressants  e.g. imipramine  and antidepressants that preferentially enhance catecholaminergic neurotransmission  e.g. reboxetine and venlafaxine  are inactive. Classical antipsychotics like haloperidol have no or a weak inhibitory effect. Serotonin plays a major role in the mediation of ultrasonic vocalisation  and in particular 5-HT(1A) and 5-HT(2) receptors are found to have a prominent role. Different serotonergic pathways are likely to be involved in the mediation of the anxiolytic-like response  e.g. the pathway ascending from the dorsal raphe nucleus through the medial forebrain bundle to the amygdala and frontal cortex mediating conditioned/learned anxiety and another pathway ascending from the dorsal raphe nucleus to the periaqueductal grey mediating unconditioned/fight flight anxiety. Dopamine D(2) receptor agonists are potent inhibitors of footshock-induced ultrasonic vocalisation. The role of dopamine D(1) receptors and adrenoceptors remains to be further elucidated. Several other neurotransmitters are involved in the mediation of ultrasonic vocalisation  e.g. acetylcholine  histamine and glutamate. There is also a need for further studies of how changes in stress-axis function may modulate ultrasonic vocalisation and for studies of the effects of chronic drug treatment on ultrasonic vocalisation."
"27","12435798","Expression profile and up-regulation of PRAX-1 mRNA by antidepressant treatment in the rat brain.","A protein associated with the peripheral-type benzodiazepine receptor (PRAX-1) has recently been cloned  but its regional distribution in the central nervous system and its function remain to be clarified. In situ hybridization was carried out to localize PRAX-1 mRNA in the rat brain and revealed a high expression of the transcript in limbic structures such as the CA1 region of the hippocampus  as well as the dentate gyrus  septum  amygdala  and the islands of Calleja. A dense hybridization signal was also observed in the nucleus accumbens  caudate nucleus  olfactory tubercle  pineal gland  and cerebellar cortex. PRAX-1 mRNA expression was largely neuronal; it colocalized with neuron-specific enolase but not glial fibrillary acidic protein. Long-term treatments (21 days) with the neuroleptic haloperidol increased PRAX-1 mRNA expression only in the dentate gyrus  whereas anxiolytic/anticonvulsant diazepam had no effect in any of the hippocampal region studied. Repeated electroconvulsive shock administration significantly enhanced PRAX1 expression in the CA1 subfield and dentate gyrus. Several classes of antidepressant treatment  including serotonin selective reuptake inhibitor (fluoxetine)  mixed serotonin- and norepinephrine-uptake inhibitor (imipramine)  and monoamine oxidase inhibitors (iproniazid and tranylcypromine)  shared this effect. Furthermore  the selective nonpeptide NK2 receptor antagonist (S)-N-methyl-N-[4-acetylamino-4-phenylpiperidino)-2-(3 4-dichlorophenyl)butyl]benzamide (SR48968)  which shows an antidepressant profile in animal studies  also enhanced PRAX-1 mRNA expression. These results point to a potential role of PRAX-1 function in the central nervous system and suggest that the up-regulation of PRAX-1 mRNA represents a common action of chronic antidepressant treatment."
"28","12429386","Antipsychotic, antidepressant, anxiolytic, and anticonvulsant drugs induce type II nitric oxide synthase mRNA in rat brain.","Nitric oxide synthase inhibitors have been regarded as potentially beneficial for psychiatric disorders such as depression and schizophrenia  though little is known about how nitric oxide synthases are affected by psychotropic drugs in the brain. Using reverse transcription-polymerase chain reaction analysis  we investigated the effects of short- and long-term oral treatments with several psychotropics on type II nitric oxide synthase gene expression in the rat brain. With maprotiline and fluvoxamine  enzyme mRNA levels were higher after a 28 day treatment than after 1 and 4 day treatments. Zonisamide  carbamazepine and diazepam also increased mRNA  though differences in levels between 1  4 and 28 day treatments were not significant. These results suggest that psychotropics modulate the gene expression of type-II nitric oxide synthase in the brain."
"29","12082565","Marked suppression of gastric ulcerogenesis and intestinal responses to stress by a novel class of drugs.","When exposed to prolonged stress  rats develop gastric ulceration  enhanced colon motility with depletion of its mucin content and signs of physiological and behavioral arousal. In this model  we tested whether antidepressants (fluoxetine and bupropion)  anxiolytics (diazepam and buspirone) or the novel nonpeptide corticotropin-releasing hormone (CRH) type-1 receptor (CRH-R1) antagonist  antalarmin  modify these responses. Fluoxetine  bupropion  diazepam and antalarmin all suppressed stress-induced gastric ulceration in male Sprague-Dawley rats exposed to four hours of plain immobilization. Antalarmin produced the most pronounced anti-ulcer effect and additionally suppressed the stress-induced colonic hypermotility  mucin depletion  autonomic hyperarousal and struggling behavior. Intraperitoneal CRH administration reproduced the intestinal but not the gastric responses to stress while vagotomy antagonized the stress-induced gastric ulceration but not the intestinal responses. We conclude that brain CRH-R1 and vagal pathways are essential for gastric ulceration to occur in response to stress and that peripheral CRH-R1 mediates colonic hypermotility and mucin depletion in this model. Nonpeptide CRH-R1 antagonists may therefore be prophylactic against stress ulcer in the critically ill and therapeutic for other pathogenetically related gastrointestinal disorders such as peptic ulcer disease and irritable bowel syndrome."
"30","11992474","Extended action of MKC-242, a selective 5-HT(1A) receptor agonist, on light-induced Per gene expression in the suprachiasmatic nucleus in mice.","We reported previously that (S)-5-[3-[(1 4-benzodioxan-2-ylmethyl)amino]propoxy]-1 3-benzodioxole hydrochloride (MKC-242) (3 mg kg(-1)  i.p.)  a selective 5-HT(1A) receptor agonist  accelerated the re-entrainment of hamster wheel-running rhythms to a new 8 hr delayed or advanced light-dark cycle  and also potentiated the phase advance of the wheel-running rhythm produced by light pulses. The molecular mechanism underlying MKC-242-induced potentiation of this phase shift  however  has not yet been elucidated. We examined the effects of MKC-242 on light-induced mPer1 and mPer2 mRNA expression in the suprachiasmatic nucleus (SCN) of mice. MKC-242 (5 mg kg(-1)  i.p.) potentiated light-induced mPer1 and mPer2 expression in the SCN of mice housed in constant darkness for 2 days  when mRNA levels were observed 3 hr after light-exposure. More potentiating action of MKC-242 on mPer2 expression in the SCN was observed in mice housed in constant darkness for 9-10 days. This facilitatory action of MKC-242 on mPer1 expression was antagonized by WAY100635  a selective 5-HT(1A) receptor blocker  indicating that MKC-242 activated 5-HT(1A) receptors. Other drugs such as 8-hydroxy-dipropylaminotetralin (10 mg kg(-1)  i.p.)  paroxetine (10 mg kg(-1)  i.p.)  buspirone (10 mg kg(-1)  i.p.)  and diazepam (10 mg kg(-1)  i.p.) did not display a potentiating action on light-induced mPer1 and mPer2 expression in the SCN. In the behavioral experiments  we found that MKC-242 (5 mg kg(-1)  i.p.) potentiated light-induced phase delays of free-running rhythm in mice. The present results suggest that prolonged increase of mPer1 or mPer2 expression in the SCN by MKC-242 may be involved in the potentiation of photic entrainment by MKC-242 in mice."
"31","11522332","Behavioral and neurochemical changes following predatory stress in mice.","This article had several objectives. First it aimed at investigating the anxiogenic-like behaviors elicited by unavoidable cat exposure and/or cat odor across nine strains of mice (BALB/c  C57BL/6  C3H  CBA  DBA/2  NMRI  NZB  SJL  Swiss) in a modified version of the free-exploration test. The second objective was to investigate possible neurochemical changes following cat exposure in Swiss mice by measuring the turnover of dopamine (DA)  noradrenaline (NA) and serotonin (5-HT) in several brain regions known to be involved in the modulation of emotional processes (hippocampus  hypothalamus and striatum). Finally  the third objective was to examine the effects of anxiolytic drug treatments on the anxiogenic responses elicited by a cat odor (i.e. a feces) in Swiss mice previously exposed to a cat using the free-exploration test. Results from the strain comparison showed that mice could be divided into three distinct groups: two non-reactive strains (NZB and SJL) which were relatively insensitive to predatory exposure and/or odor; five intermediate-reactive strains (Swiss  NMRI  CBA  C3H and BALB/c) which displayed clear anxiogenic-like responses only when exposed to both cat and  subsequently  to feces; and two high reactive strains (C57BL/6 and DBA/2) which showed anxiogenic-like reactions following cat exposure  regardless of the stimulus (clay or feces) present in the free-exploration cage. Neurochemical data revealed that  while brain levels of NA  DA  5-HT in cat exposed Swiss mice were not significantly different from those of control animals  turnover rates of these monoamines were increased in the hippocampus (NA and 5-HT)  hypothalamus and striatum (DA) after cat exposure. Results from pharmacological experiments indicated that repeated administration of the 5-HT reuptake inhibitor fluoxetine (5-20 mg/kg  twice a day  for 5 days) completely abolished avoidance of the cat feces in Swiss mice previously exposed to the predator. Neither acute nor repeated administration of the classical anxiolytic diazepam was able to reduce avoidance behavior of the anxiogenic stimulus in the free-exploration test. Taken together  these findings indicate that the exposure of mice to unavoidable predatory stimuli is associated with behavioral and neurochemical changes consistent with increased anxiety."
